"States","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Anhui",991,6,985,6
"Beijing",593,9,584,9
"Chongqing",579,6,573,6
"Fujian",357,1,356,1
"Gansu",139,2,137,2
"Guangdong",1592,8,1584,8
"Guangxi",254,2,252,2
"Guizhou",147,2,145,2
"Hainan",169,6,163,6
"Hebei",328,6,322,6
"Heilongjiang",945,13,932,13
"Henan",1276,22,1254,22
"Hong Kong",1065,4,1061,4
"Hunan",1019,4,1015,4
"Inner Mongolia",232,1,231,1
"Jiangsu",653,0,653,0
"Jiangxi",937,1,936,1
"Jilin",155,2,153,2
"Liaoning",149,2,147,2
"Macau",45,0,45,0
"Ningxia",75,0,75,0
"Qinghai",18,0,18,0
"Shaanxi",308,3,305,3
"Shandong",788,7,781,7
"Shanghai",670,7,663,7
"Shanxi",198,0,198,0
"Sichuan",564,3,561,3
"Tianjin",192,3,189,3
"Tibet",1,0,1,0
"Xinjiang",76,3,73,3
"Yunnan",185,2,183,2
"Zhejiang",1268,1,1267,1
