"States","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Anhui",990,6,984,6
"Beijing",577,8,569,8
"Chongqing",579,6,573,6
"Fujian",340,1,339,1
"Gansu",138,2,136,2
"Guangdong",1484,8,1476,8
"Guangxi",254,2,252,2
"Guizhou",147,2,145,2
"Hainan",168,6,162,6
"Hebei",321,6,315,6
"Heilongjiang",484,13,471,13
"Henan",1276,22,1254,22
"Hong Kong",682,4,678,4
"Hunan",1018,4,1014,4
"Inner Mongolia",97,1,96,1
"Jiangsu",645,0,645,0
"Jiangxi",937,1,936,1
"Jilin",98,1,97,1
"Liaoning",136,2,134,2
"Macau",38,0,38,0
"Ningxia",75,0,75,0
"Qinghai",18,0,18,0
"Shaanxi",253,3,250,3
"Shandong",773,7,766,7
"Shanghai",498,5,493,5
"Shanxi",136,0,136,0
"Sichuan",550,3,547,3
"Tianjin",174,3,171,3
"Tibet",1,0,1,0
"Xinjiang",76,3,73,3
"Yunnan",180,2,178,2
"Zhejiang",1255,1,1254,1
